Item;Desc. item;Desc. ext. 1 detalle;Desc. ext. 2 detalle;Desc. tipo inventario;ORIGEN;DEPARTAMENTO;SUBCATEGORIA;ESTILO;VIGENCIA;001-DESCRIPCION UNIFICADA;001-ALTO EXHIBIDO;001-ANCHO EXHIBIDO;001-FONDO EXHIBIDO;001-MATERIAL PPAL;001-ACABADO;REF_Combinada;COLOR DEF;Puestos
0017647;PUFF LEAL PATAS HIERRO NG LIQUIDACIÓN;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LEAL;40;30;30;Microfibra;Textiles suaves;XA0426:00005:;NEGRO;1 Puesto
0017646;PUFF LEAL PATAS HIERRO NR LIQUIDACIÓN;C.NARANJA;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LEAL;40;30;30;Microfibra;Textiles suaves;XA0425:00050:;NARANJA;1 Puesto
0017645;PUFF LEBEN PATAS NATURAL NG;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LEBEN;40;30;30;Microfibra;Textiles suaves;XA0424:00005:;NEGRO;1 Puesto
0017644;PUFF LEBEN PATAS NATURAL RJ LIQUIDACIÓN;C.ROJO   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LEBEN;40;30;30;Microfibra;Textiles suaves;XA0423:00024:;ROJO;1 Puesto
0019175;PUFF LILIANA MADERA 28*28*37 TELA BEIGE;C.BEIGE  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;003 - NOVEDAD;PUFF LILIANA;40;30;30;Microfibra;Textiles suaves;XC0103:00036:;BEIGE;1 Puesto
0019174;PUFF LILIANA MADERA 28*28*37 TELA GRIS;C.GRIS   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;003 - NOVEDAD;PUFF LILIANA;40;30;30;Microfibra;Textiles suaves;XC0102:00029:;GRIS;1 Puesto
0015064;PUFF ONTARIO;F-160 AGO;F-160 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;002 - DESCONTINUADO;PUFF ONTARIO;46;36;36;Microfibra;Textiles suaves;D00043:00133:00133;VERDE;1 Puesto
0015064;PUFF ONTARIO;F-161 AGO;F-161 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;002 - DESCONTINUADO;PUFF ONTARIO;46;36;36;Microfibra;Textiles suaves;D00043:00134:00134;ROJO;1 Puesto
0015064;PUFF ONTARIO;F-159 T/P;F-159 T/P;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;001 - LINEA;PUFF ONTARIO;46;36;36;Microfibra;Textiles suaves;D00043:00132:00132;AMARILLO;1 Puesto
0000820;PUFF PLEG VALARI PEQ 30X30 NG LIQUIDACIÓ;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;002 - DESCONTINUADO;PUFF PLEGABLE VALARI;30;30;30;Microfibra;Textiles suaves;XR0280:00005:;NEGRO;1 Puesto
0019808;PUFF RAED GRIS;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;003 - NOVEDAD;PUFF RAED;30;30;30;Microfibra;Textiles suaves;XC0107::;GRIS;1 Puesto
0019810;PUFF RAFAEL GRIS;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;003 - NOVEDAD;PUFF RAFAEL;30;30;30;Microfibra;Textiles suaves;XC0109::;GRIS;1 Puesto
